Results for query: "avtomatizacija orodja"
Retrieved 31 documents.
Frequencies  Document                                   Snippet                                                                                                                                                                                                                                               
-----------  -----------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         22  evem.gov.si/evem.gov.si.371.html           spada: proizvodnja rezilnega orodja za stroje, gl. ... 25.731 Proizvodnja ročnega orodja Sem spada: proizvodnja ročnega orodja, kot so ... proizvodnja kmetijskega ročnega orodja, kot so ... proizvodnja zidarskega ročnega orodja proizvodnja žag in
          9  evem.gov.si/evem.gov.si.145.html           Proizvodnja orodja za stroje (25.732) ... Dejavnosti › Proizvodnja orodja za stroje (25.732) Proizvodnja orodja za stroje (25.732) ... naprave proizvodnja kovaškega orodja: nakoval, kladiv, ... ipd. proizvodnja težkega orodja za obdelavo kovin,  
          9  evem.gov.si/evem.gov.si.458.html           Proizvodnja ročnega orodja (25.731) / Dejavnosti ... › Proizvodnja ročnega orodja (25.731) Proizvodnja ročnega orodja (25.731) Ta SKD ... dejavnosti/storitve: proizvodnja ročnega orodja, kot so ... proizvodnja kmetijskega ročnega orodja, kot so  
          3  e-prostor.gov.si/e-prostor.gov.si.57.html  povezavo do programskega orodja TATUKGIS, ki ga ... uporabo ustreznega (grafičnega) orodja oglejte podatke. Ostale ... greste na Tools (Orodja) - Options                                                                                             
          3  evem.gov.si/evem.gov.si.15.html            za obdelovance ter orodja in posebnih nastavkov ... (25.720) Proizvodnja ročnega orodja (25.731) Proizvodnja orodja za stroje (25.732)                                                                                                                
          3  evem.gov.si/evem.gov.si.427.html           za obdelovance ter orodja in posebnih nastavkov ... za obdelovance ter orodja in posebnih nastavkov ... za obdelovance ter orodja in posebnih nastavkov                                                                                               
          2  evem.gov.si/evem.gov.si.135.html           za obdelovance ter orodja in posebnih nastavkov ... za obdelovance ter orodja in posebnih nastavkov                                                                                                                                                   
          1  podatki.gov.si/podatki.gov.si.340.html     ELSI Tehtanje in avtomatizacija, d.o.o. LILIMED,                                                                                                                                                                                                      
          1  podatki.gov.si/podatki.gov.si.556.html     geolocirani podatki; • avtomatizacija: izdajatelj lahko                                                                                                                                                                                               
          1  podatki.gov.si/podatki.gov.si.81.html      2016 Ključne besede avtomatizacija pisarniškega poslovanja, elektronska                                                                                                                                                                               
