Results for query: "spletna storitev"
Results found in 60.94s. Retrieved 367 documents.
Frequencies  Document                                    Snippet                                                                                                                                                                                                                                                                              
-----------  ------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        189  evem.gov.si/evem.gov.si.371.html            kmetijstvu Za opravljanje storitev s kmetijsko ter ... kmetijstvu Za opravljanje storitev s kmetijsko ter ... kmetijstvu Za opravljanje storitev s kmetijsko ter ... pri nadaljnji gradnji Storitev mletja, drobljenja kamenin,                                                      
         21  evem.gov.si/evem.gov.si.398.html            dobave blaga oziroma storitev, od katerih ... za izvajanje določenih storitev. Ali se ... bo izvajalec teh storitev. Iz vprašanja ... torej po prejemniku storitev, se mora ... zgolj od prejetih storitev, katerih kraj ... dobav blaga oziroma storitev DDV ne bo                  
         20  evem.gov.si/evem.gov.si.656.html            dobavil blago ali storitev, identifikacijsko številko ... dobavo blaga ali storitev, za katero ... in vrsto opravljenih storitev; datum, ko ... ko je bila storitev opravljena oz. končana, ... blaga ali naročnika storitev v imenu in                                              
         14  e-prostor.gov.si/e-prostor.gov.si.6.html    nepremičninah je brezplačna spletna storitev, ki uporabniku ... nepremičnin je brezplačna spletna storitev, ki uporabniku ... registrirane uporabnike je spletna storitev namenjena poslovnim subjektom ... nepremičninah je brezplačna spletna storitev, ki posamezniku             
         11  e-prostor.gov.si/e-prostor.gov.si.57.html   vzrok. Stara digitalna spletna potrdila so jim ... dostop do interneta. Spletna aplikacija deluje z ... vpogled je brezplačna storitev. Kje lahko ... 1 : 1.000. Spletna stran http://www.e-prostor.gov.si se ... enakovreden lastnoročnemu podpisu. Spletna potrdila se uporabljajo 
         11  evem.gov.si/evem.gov.si.528.html            komunikacijskih omrežij in storitev / Dejavnosti / ... komunikacijskih omrežij in storitev Zagotavljanje elektronskih komunikacijskih omrežij in storitev Zagotavljanje elektronskega komunikacijskega ... zagotavljanje elektronskih komunikacijskih storitev dostopnih javnosti, ki
         11  evem.gov.si/evem.gov.si.530.html            Izvajanje zamenljivih poštnih storitev / Dejavnosti / ... Izvajanje zamenljivih poštnih storitev Izvajanje zamenljivih poštnih storitev Zamenljive poštne storitve ... v nabor univerzalnih storitev, saj so ... mase 10 kg, storitev priporočene in vrednostne                      
         11  evem.gov.si/evem.gov.si.653.html            Certifikat opreme in storitev Certifikat zaščite kmetijskih ... delo, opravljanje socialnovarstvenih storitev Dovoljenje za enake ... za opravljanje dimnikarskih storitev Dovoljenje za opravljanje ... za opravljanje investicijskih storitev in poslov Dovoljenje                 
         10  e-prostor.gov.si/e-prostor.gov.si.138.html  satelitskih sistemov. Omrežna storitev SIGNAL omogoča uporabniku omrežnih storitev in podatkov uporabo ... in/ali formatu RTCM. Storitev se zaračuna na ... Souporaba podatkov in storitev preoblikovnaja podatkov omrežja                                                           
          9  e-uprava.gov.si/e-uprava.gov.si.44.html     so opisi posameznih storitev oblikovani tako, da ... in kako opraviti storitev, je uporabnikom ... obrazec za opisano storitev. Uporabniki vloge ... portala. Opise posameznih storitev pripravljajo vsebinsko pristojni                                                             
