Results for query: "trgovina"
Retrieved 127 documents.
Frequencies  Document                                Snippet                                                                                                                                                                                                                                                                                                                  
-----------  --------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        364  evem.gov.si/evem.gov.si.371.html        organizacij, gl. 46.110 trgovina na debelo s ... juh, gl. 10.890 trgovina na debelo z ... ipd., gl. 10.890 trgovina na debelo s ... jedmi, gl. 46.380 trgovina na drobno s ... Skladiščenje nevarnih kemikalij Trgovina na debelo z nevarnimi kemikalijami Trgovina na drobno z                                          
         95  evem.gov.si/evem.gov.si.651.html        Druga govedoreja Druga trgovina na drobno v ... specializiranih prodajalnah Druga trgovina na drobno v ... nespecializiranih prodajalnah Druga trgovina na drobno v ... z živili Druga trgovina na drobno zunaj ... Nepremičninsko posredovanje Nespecializirana trgovina na debelo Nespecializirana trgovina na debelo z
         92  evem.gov.si/evem.gov.si.21.html         eVEM › Področja Trgovina Tu boste našli ... Seznam dejavnosti Druga trgovina na drobno v ... nespecializiranih prodajalnah Druga trgovina na drobno zunaj ... tržnic (47.990) Nespecializirana trgovina na debelo Trgovina na drobno na                                                                                  
         82  podatki.gov.si/podatki.gov.si.340.html  d.o.o. A DENT, trgovina in storitve, d.o.o. ... d.o.o. ADRIA INVESTICIJE trgovina, posredništvo, storitve ... storitve d.o.o. AHATSERVIS trgovina in storitve, d.o.o. ... vzdrževanje d.o.o. ALBA trgovina in proizvodnja, d.o.o.                                                                                        
         14  evem.gov.si/evem.gov.si.623.html        Trgovina na debelo z ... › Dejavnosti › Trgovina na debelo z ... izdelki široke porabe Trgovina na debelo z ... porabe Sem spada: trgovina na debelo z ... plutovinastimi izdelki ipd. trgovina na debelo s ... in deli zanja trgovina na debelo s                                                                       
         13  evem.gov.si/evem.gov.si.329.html        Trgovina na debelo z ... › Dejavnosti › Trgovina na debelo z ... in sanitarno opremo Trgovina na debelo z ... opremo Sem spada: trgovina na debelo z neobdelanim lesom trgovina na debelo s ... primarne obdelave lesa trgovina na debelo s                                                                              
         13  evem.gov.si/evem.gov.si.630.html        Trgovina na drobno v ... › Dejavnosti › Trgovina na drobno v ... predmeti za gospodinjstvo Trgovina na drobno v ... Sem spada: specializirana trgovina na drobno s pohištvom specializirana trgovina na drobno s ... za razsvetljavo specializirana trgovina na drobno z                                                 
         11  evem.gov.si/evem.gov.si.320.html        Trgovina na debelo s ... › Dejavnosti › Trgovina na debelo s ... napravami za ogrevanje Trgovina na debelo s ... ogrevanje Sem spada: trgovina na debelo s ... kovinskimi izdelki, ključavnicami trgovina na debelo z ... izdelki za pritrjevanje trgovina na debelo s parnimi kotli trgovina na debelo s                
         11  evem.gov.si/evem.gov.si.327.html        Trgovina na debelo z ... › Dejavnosti › Trgovina na debelo z ... napravami in opremo Trgovina na debelo z ... opremo Sem spada: trgovina na debelo s ... koles in koles trgovina na debelo z industrijskimi roboti trgovina na debelo z                                                                                  
         11  evem.gov.si/evem.gov.si.622.html        Trgovina na debelo z ... › Dejavnosti › Trgovina na debelo z ... električnimi gospodinjskimi napravami Trgovina na debelo z ... napravami Sem spada: trgovina na debelo z zabavno elektroniko trgovina na debelo s ... in podobnimi ploščami trgovina na debelo z                                                        
